id	surname	firstname	name	alternativename	province	politicalparty	fullname	fathername	picture	website	email and homepage 1	parliament_start_date	email and homepage 2	email and homepage 3	email and homepage 4	contact_info
11	Αναγνωστακης	 Δημητριος	Δημήτριος Αναγνωστάκης		ΕΥΒΟΙΑΣ	dimar	Αναγνωστάκης Θεοδώρου Δημήτριος	Θεοδώρου			anagnostakisdimitris@gmail.com	17/6/2014				Αθήνα, Βουλής 4, Τ.Κ. 105 62 τηλ: 210 3239562, 3706437, FAX: 210 3706037 Χαλκίδα, Ισσαίου 3, Τ.Κ. 34100 τηλ: 22210 74406, FAX: 22210 60787
12	Αναγνωστοπουλος	Γιωργος	Γιώργος Αναγνωστόπουλος		ΚΑΡΔΙΤΣΗΣ	nd	Αναγνωστόπουλος Θεοδώρου Γεώργιος	Θεοδώρου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/anagnostopoulosG.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=bd6620c2-7dae-42ff-a313-b8c7b5f0bac1		17/6/2014				
13	Αναστασιαδης	 Σαββας	Σάββας Αναστασιάδης 		Β' ΘΕΣΣΑΛΟΝΙΚΗΣ	nd	Αναστασιάδης Ιωάννη Σάββας	Ιωάννη	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/anastasiadissavas.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=5082921e-17ac-4d75-a63b-f799fa6722d7	savanast@otenet.gr;	17/6/2014	s.anastasiadis@parliament.gr;	http://www.savvas-anastasiadis.gr		Αθήνα, Μητροπόλεως 1, Τ.Κ. 105 57, τηλ. 210 3709780, 210 3318077, fax. 210 3709 781; Θεσσαλονίκη, 26ης Οκτωβρίου 16, Τ.Κ. 546 27, τηλ. 2310 553100, 2310 551694, fax 2310 553 563.
14	Ανδριανος	 Ιωαννης	Γιάννης Ανδριανός		ΑΡΓΟΛΙΔΟΣ	nd	Ανδριανός Σωτηρίου Ιωάννης	Σωτηρίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/andrianos.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=3412a7fa-5e0a-4404-9f47-a23707ac8d09	nafplio@andrianos.eu;	17/6/2014	jandrianos@parliament.gr;	argos@andrianos.eu		Αθήνα, Βουλής 4, Τ.Κ. 10562; τηλ: 210 3706347, FAX: 210 3706547; Ναύπλιο, Άργους 3, Τ.Κ. 21100; τηλ: 27520 97951, FAX: 27520 97950; Άργος, Ελ. Βενιζέλου 2, Τ.Κ. 21200; τηλ: 27510 61440, FAX: 27510 61441
15	Ανδρουλακης	 Δημητριος	Δημήτριος Ανδρουλάκης 	Μίμης Ανδρουλακης	Β' ΑΘΗΝΩΝ	pasok	Ανδρουλάκης Γρηγορίου Δημήτριος (Μίμης)	Γρηγορίου			androulakis@mimis.gr	17/6/2014	http://www.mimis.gr			Αθήνα, 28ης Οκτωβρίου 15, 162 33, Καρέας, τηλ.: 210 764 9495, fax:210 764 7917.
16	Αντωνιου	 Μαρια	Μαρία Αντωνίου		ΚΑΣΤΟΡΙΑΣ	nd	Αντωνίου Βασιλείου Μαρία	Βασιλείου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/M.Antoniou.png	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=ef815329-f549-4468-a40f-573c800551b3	mar.antoniu@gmail.com	17/6/2014				Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557; τηλ: 210 3709426, FAX: 210 3709429; Καστοριά, Αθαν. Διάκου 8, Τ.Κ. 52100; τηλ. 24670 80788, 80750, FAX: 24670 80750
17	Αποστολου	 Ευαγγελος	Ευάγγελος Αποστόλου		ΕΥΒΟΙΑΣ	syriza	Αποστόλου Δημητρίου Ευάγγελος	Δημητρίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/apostolouevag.JPG	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=fe130b12-f712-4675-8f2a-c2249ee9756f	apostolou@syn.gr	17/6/2014				Αθήνα, Βουλής 4, Τ.Κ. 105 62
18	Αραμπατζη	 Φωτεινη	Φωτεινή Αραμπατζή 		ΣΕΡΡΩΝ	nd	Αραμπατζή Αθανασίου Φωτεινή	Αθανασίου		http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=c09c98e5-74f9-4efc-88a4-0318a343787a	arampatzifot@yahoo.gr;	17/6/2014	foteini@arampatzi.gr			Αθήνα, Βουλής 4, Τ.Κ. 105 62; τηλ: 210 3706405, FAX: 210 3706005; Σέρρες, Τσαλοπούλου 2, Τ.Κ. 62122; τηλ: 23210 57760,2,3, FAX: 23210 25650
19	Αρβανιτης-Αβραμης	 Μιχαηλ	Μιχαήλ Αρβανίτης-Αβράμης 		ΑΧΑΪΑΣ	xa	Αρβανίτης - Αβράμης Κωνσταντίνου Μιχαήλ	Κωνσταντίνου 			m.arvanitis@parliament.gr	17/6/2014				Αθήνα, Δηλιγιάννη 50, Τ.Κ. 10439, τηλ: 210 3707963, FAX: 210 3707958
20	Αρβανιτοπουλος	 Κωνσταντινος	Κωνσταντίνος Αρβανιτόπουλος		Α' ΠΕΙΡΑΙΩΣ	nd	Αρβανιτόπουλος Παναγιώτη Κωνσταντίνος	Παναγιώτη	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/arvanitopoulos.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=6919b4cf-771f-46a9-b3b5-8db81f7fab12	info@arvanitopoulos.gr;	17/6/2014	http://www.arvanitopoulos.gr			Πειραιάς, Βασ. Γεωργίου Α΄& Κουντουριώτου 147, ΤΚ 18535; τηλ: 210 4123561 4175973 FAX: 210 4173115
21	Ασημακοπουλου	 Αννα-Μισελ	Άννα-Μισέλ Ασημακοπούλου		ΙΩΑΝΝΙΝΩΝ	nd	Ασημακοπούλου Παναγιώτη Άννα-Μισέλ	Παναγιώτη	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/Asimakopoulouanna.JPG	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=b4b35399-b0d4-4684-af64-d219d99bb7f0	a.asimakopoulou@parliament.gr;	17/6/2014	http://www.asimakopoulou.gr			Aθήνα, Μητροπόλεως 1, Τ.Κ. 10557 Tηλ: 210 3709785, Φαξ: 210 3709786; Ιωάννινα, Ζυγοµάλλη 5, Τ.Κ. 45332 Τηλ.: 26510 22410, Φαξ: 26510 31828
22	Αυγενακης	 Ελευθεριος	Ελευθέριος Αυγενάκης		ΗΡΑΚΛΕΙΟΥ	nd	Αυγενάκης Κωνσταντίνου Ελευθέριος	Κωνσταντίνου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/avgenakis.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=e69fa4cd-9328-4749-ab72-6f6f9078062f	info@avgenakis.gr;	17/6/2014	http://www.avgenakis.gr			Αθήνα, Βουλής 4, Τ.Κ. 105 62; τηλ: 210 3706415, FAX: 210 3706015; Ηράκλειο, 25ης Αυγούστου 4, Τ.Κ. 71202; τηλ: 2810 301178, FAX: 2810 301179
23	Αυγερινοπουλου	 Διονυσια-Θεοδωρα	Διονυσία-Θεοδώρα Αυγερινοπούλου 		ΗΛΕΙΑΣ	nd	Αυγερινοπούλου Ζήσιμου Διονυσία - Θεοδώρα	Ζήσιμου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/AVGERINOPOULOUDIONISIA.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=f4625b5a-b4af-41cd-8d92-a042827dbc7f	d.avgerinopoulou@parliament.gr	17/6/2014				Αθήνα, Βουλής 4, Τ.Κ. 105 62; τηλ.: 210 370 6397, 210 323 9166, FAX: 210 370 6597; Πύργος Ηλείας, Μπιζανίου 5, Τ.Κ. 27 100; τηλ.: 26210 27255, 26210 20474, FAX: 26210 20474; Ζαχάρω Ηλείας, έναντι πνευματικού κέντρου, Τ.Κ. 27 054; τηλ.: 26250 31450
24	Ελενη	Αυλωνιτου	Ελένη Αυλωνίτου		Β' ΑΘΗΝΩΝ	syriza	Αυλωνίτου Βασιλείου Ελένη	Βασιλείου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/Avlonitou%20photo_2.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=4d7306d4-b301-43df-bd2d-2ffbd22c5327	e.avlonitou@parliament.gr	17/6/2014				Αθήνα, Βουλή των Ελλήνων, Τ.Κ. 10021
25	Βαλαβανη	 Ολγα-Ναντια	Όλγα-Νάντια Βαλαβάνη		Β' ΑΘΗΝΩΝ	syriza	Βαλαβάνη Γεωργίου Όλγα - Νάντια	Γεωργίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/valavaninantia_1.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=87fa03ea-adaf-4cc9-9bdd-b3b2da94b5e6	nvalavani@gmail.com	17/6/2014				Αθήνα, Βουλή των Ελλήνων, Τ.Κ. 10021
26	Βαμβακα	 Ευγενια	Ευγενία Βαμβακά 	Τζένη Βαμβακα	Β' ΠΕΙΡΑΙΩΣ	syriza	Βαμβακά Νικολάου Ευγενία (Τζένη)	Νικολάου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/vamvakaevgenia.JPG	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=3767ecb5-8950-4f43-9772-288439a62ef7	vamvaka@parliament.gr	17/6/2014				Αθήνα, Βουλή των Ελλήνων, Τ.Κ. 10021
27	Βαρβιτσιωτης	 Μιλτιαδης	Μιλτιάδης Βαρβιτσιώτης		Β' ΑΘΗΝΩΝ	nd	Βαρβιτσιώτης Ιωάννη Μιλτιάδης	Ιωάννη	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/mvarv_1.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=70d59ef2-8b5e-488d-bc2b-0198c84393c1	info@mvarvitsiotis.gr;	17/6/2014	miltiadis@mvarvitsiotis.gr;	http://www.mvarvitsiotis.gr		Αθήνα, Γ. Γενναδίου 3, Τ.Κ. 10678; τηλ.: 210-3809931-4, FAX 210-3831877
28	Βαρεμενος	 Γεωργιος	Γεώργιος Βαρεμένος		ΑΙΤΩΛΙΑΣ ΚΑΙ AΚΑΡΝΑΝΙΑΣ	syriza	Βαρεμένος Βασιλείου Γεώργιος	Βασιλείου		http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=7cdf684b-5af0-412b-9a6b-195a21dde8a7	gvaremenos@gmail.com	17/6/2014				Αθήνα, Βουλής 4, Τ.Κ. 105 62
29	Βενιζελος	 Ευαγγελος	Ευάγγελος Βενιζέλος		Α' ΘΕΣΣΑΛΟΝΙΚΗΣ	pasok	Βενιζέλος Βασιλείου Ευάγγελος	Βασιλείου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/venizelos.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=60c2d57c-9936-469b-91fd-66ed27eaad3f	proedros@pasok.gr	17/6/2014				Αθήνα, Ιπποκράτους 22, Τ.Κ. 10680 τηλ: 210 3665378-9, FAX: 210 3665092 Βουλή, τηλ: 210 3385382-3, FAX: 210 3385464
30	Βεσυροπουλος	 Αποστολος	Απόστολος Βεσυρόπουλος 		ΗΜΑΘΙΑΣ	nd	Βεσυρόπουλος Φωτίου Απόστολος	Φωτίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/vesiropoulos_1.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=372e4173-a84e-43c4-bbd9-a829d6ccb276	vesiropoulos@gmail.com;	17/6/2014	http://vesiropoulos.blogspot.com			Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557; Τηλ.: 210 3709676, Φαξ: 210 3709679; Αλεξάνδρεια, Θεµ. Σοφούλη 43, Τ.Κ. 59300; Τηλ.: 23330 24777, 27244, 27239 Φαξ: 23330 24748; Βέροια, Εληάς & Μητροπόλεως 54, Τ.Κ. 59100; Τηλ./Φαξ: 23310 61889, Φαξ: 23310 61389
31	Βιρβιδακης	 Κυριακος	Κυριάκος Βιρβιδάκης		ΧΑΝΙΩΝ	nd	Βιρβιδάκης Επαμεινώνδα Κυριάκος	Επαμεινώνδα	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/virvidakis.JPG	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=22f3f35c-75f0-4f93-b925-156e6743cadb	virvidakisk@gmail.com;	17/6/2014	http://www.virvidakis.gr			Χανιά, Σφακίων 2, Τ.Κ. 73134; τηλ: 28210 51200, FAX: 28215 01053 Αθήνα, Βουλής 4, Τ.Κ. 105 62; τηλ: 210 3706401, FAX: 210 3706001
32	Βλαχβεης	 Μενελαος	Μενέλαος Βλάχβεης 		ΣΕΡΡΩΝ	nd	Βλάχβεης Χρήστου Μενέλαος	Χρήστου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/Vlachveismenelaos.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=52666145-158e-44a9-93d0-66f6a80435bb	vlachveis@parliament.gr	17/6/2014				Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557; τηλ: 2103709542, FAX: 2103709540; Σέρρες, Εθνικής Αντίστασης 3, Τ.Κ. 62122; τηλ: 23210 57730, FAX: 23210 57739
33	Βλαχογιαννης	 Ηλιας	Ηλίας Βλαχογιάννης		ΤΡΙΚΑΛΩΝ	nd	Βλαχογιάννης Γεωργίου Ηλίας	Γεωργίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/vlachogiannisilias.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=6bee1266-cc4e-4c2c-8747-5cc4c84da079	info@vlachoyiannis.gr;	17/6/2014	http://www.vlachoyiannis.gr			Αθήνα, Βουλής 4, Τ.Κ. 10562, τηλ: 210 3706403, FAX: 210 3706003; Τρίκαλα, Καραϊσκάκη 26, Τ.Κ. 42100, τηλ: 24310 31160, 24310 31161, FAX: 24310 31161.
34	Βλαχος	 Γεωργιος	Γεώργιος Βλάχος		ΑΤΤΙΚΗΣ	nd	Βλάχος Θεοδώρου Γεώργιος	Θεοδώρου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/vlaxos.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=489eabb1-5d8c-4d61-abc5-2382b6d28bff	gvlahos@ath.forthnet.gr;	17/6/2014	http://www.gvlahos.gr			Αθήνα, Βασ. Κωνσταντίνου 26, Τ.Κ. 11635, τηλ: 210 7297462, FAX: 210 7222028; Κορωπί, Βασιλέως Κωνσταντίνου 161, Τ.Κ. 19400, τηλ: 210 6620240
35	Βογιατζης	 Παυλος	Παύλος Βογιατζής		ΛΕΣΒΟΥ	nd	Βογιατζής Γεωργίου Παύλος	Γεωργίου		http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=13913be3-a719-46c3-a585-e5146ee18286	vogiatzis@parliament.gr	17/6/2014				Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557, τηλ: 210 3709405-6, FAX: 210 3709409; Μυτιλήνη, Αγ. Ειρήνης 3Γ, Τ.Κ. 81100, τηλ: 22510 55700, FAX: 2251055838
36	Βολουδακης	 Μανουσος-Κωνσταντινος	Μανούσος-Κωνσταντίνος Βολουδάκης		ΧΑΝΙΩΝ	nd	Βολουδάκης Γεωργίου Μανούσος - Κωνσταντίνος	Γεωργίου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/voloudakismanousos.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=c9994375-0a25-4f74-836d-e5b9981b8d93	manousos@voloudakis.gr;	17/6/2014	http://www.voloudakis.gr			Αθήνα, Βουλής 4, Τ.Κ. 105 62, τηλ: 210 3706443, 210 3228366, FAX: 210 3706043.; Χανιά, Α. Παπανδρέου 91, Τ.Κ. 73132; τηλ: 28210 53248, FAX: 28210 20165
37	Βοριδης	 Μαυρουδης	Μαυρουδής Βορίδης 	Μάκης Βοριδης	ΑΤΤΙΚΗΣ	nd	Βορίδης Χρήστου Μαυρουδής (Μάκης)	Χρήστου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/voridismavroudis.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=4e2650b8-8089-4dc4-972c-616e412cd9db	voridis@parliament.gr;	17/6/2014	http://www.voridis.gr			Αθήνα, Θέτιδος 10 & Μιχαλακοπούλου (όπισθεν Χίλτον), Τ.Κ.: 115 28; τηλ: 210 3219540, FAX: 210 3244955.
38	Βουδουρης	 Οδυσσευς-Νικος	Οδυσσεύς-Νίκος Βουδούρης		Β' ΑΘΗΝΩΝ	dimar	Βουδούρης Γεωργίου Οδυσσεύς - Νίκος	Γεωργίου			odysseasvoudouris@gmail.com	17/6/2014	http://www.odysseas-voudouris.gr			Αθήνα, Χολαργός, Πυθαγόρα 5, Τ.Κ. 15562 τηλ: 210 7255363, FAX: 210 6421204
39	Βουλτεψη	 Σοφια	Σοφία Βούλτεψη		Β' ΑΘΗΝΩΝ	nd	Βούλτεψη Ιωάννη Σοφία	Ιωάννη	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/voultepsisofia_1.JPG	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=ce747fe0-bb29-4c3b-adb2-fa2d9a4b8324	info@elzoni.gr	17/6/2014				Αθήνα, Ζωοδόχου Πηγής 10, 10678, τηλ: 210 3643601, FAX: 210 3643307
40	Βουτσης	 Νικολαος	Νικόλαος Βούτσης		Α' ΑΘΗΝΩΝ	syriza	Βούτσης Γεωργίου Νικόλαος	Γεωργίου		http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=94365bd1-8420-4c08-ac89-1e4cba1725e0	nvoutsis@gmail.com	17/6/2014				Αθήνα, Πλ. Ελευθερίας 1, Τ.Κ. 10553, τηλ: 210 3378400, 210 3708385, FAX: 210 3707790
41	Βρουτσης	 Ιωαννης	Ιωάννης Βρούτσης		ΚΥΚΛΑΔΩΝ	nd	Βρούτσης Βασιλείου Ιωάννης	Βασιλείου	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/vroutsis_001.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=c8e85d14-c129-42af-a3aa-e70be827643f	vroutsis@ivroutsis.gr;	17/6/2014	http://www.ivroutsis.gr			Αθήνα, Καραγεώργη Σερβίας 7, Τ.Κ. 10563, τηλ: 210 3211200, 3213333, FAX: 210 3211300
42	Γαιτανη	 Ιωαννα	Ιωάννα Γαϊτάνη 		Α' ΘΕΣΣΑΛΟΝΙΚΗΣ	syriza	Γαϊτάνη Γεωργίου Ιωάννα	Γεωργίου		http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=3eca4e53-9b01-4d18-b76f-c4f0316c8d54	gaitani@parliament.gr	17/6/2014				Αθήνα, Μητροπόλεως 1, Τ.Κ. 10557,
43	Γακης	 Δημητρης	Δημήτρης Γάκης		ΔΩΔΕΚΑΝΗΣΩΝ	syriza	Γάκης Θωμά Δημήτριος	Θωμά	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/GakisDimitrios_1.jpg	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=bab2c4d1-02b8-4e08-96cd-9d2a3847712b	dgakis@otenet.gr	17/6/2014				Αθήνα, Σέκερη 1, Τ.Κ. 10671
44	Γελαλης	 Δημητρης	Δημήτρης Γελαλής		ΛΑΡΙΣΗΣ	syriza	Γελαλής Λεωνίδα Δημήτρης	Λεωνίδα	http://www.hellenicparliament.gr/UserThumbs/ead3237d-2c71-43a9-b9ae-057fcbd6268d/thumbs_80x101/Gelalis.Dimitris.JPG	http://www.hellenicparliament.gr/Vouleftes/Stoicheia-Epikoinonias-Voulefton?MPId=7b5b74eb-81b8-4de1-871b-402735443170	dgelalis@parliament.gr	17/6/2014				Αθήνα, Βουλής 4, Τ.Κ. 105 62,
