"V1";"V2"
"11";": Κύριε Πρόεδρε, ισχύει η τοποθέτηση που είχαμε στην Επιτροπή Οικονομικών.";"ΑΠΟΣΤΟΛΟΣ ΝΑΝΟΣ"
"12";"): Μάλιστα. 
Κυρίες και κύριοι συνάδελφοι, κηρύσσεται περαιωμένη η συζήτηση επί της αρχής, των άρθρων και του συνόλου των σχεδίων νόμου του Υπουργείου Οικονομικών. 
Η ψήφισή τους θα γίνει χωριστά. 
«Κύρωση της Τροποποίησης της Σύμβασης για την Σύσταση Συμβουλίου Τελωνειακής Συνεργασίας»
Ερωτάται το Σώμα: Γίνεται δεκτό το νομοσχέδιο;";"Ευάγγελος Αργύρης"
"13";": Δεκτό, δεκτό.";"ΠΟΛΛΟΙ ΒΟΥΛΕΥΤΕΣ"
"14";"): Συνεπώς το νομοσχέδιο του Υπουργείου Οικονομικών: «Κύρωση της Τροποποίησης της Σύμβασης για την Σύσταση Συμβουλίου Τελωνειακής Συνεργασίας» έγινε δεκτό κατά πλειοψηφία, σε μόνη συζήτηση επί της αρχής, των άρθρων και του συνόλου και έχει ως εξής:
(Να μπει το κείμενο σελ. 11α)";"Ευάγγελος Αργύρης"
"15";"): «Κύρωση της υπ’ αριθμ. 66-2 Απόφασης του Συμβουλίου Διοικητών του Διεθνούς Νομισματικού Ταμείου σχετικά με τη Δέκατη Τέταρτη Γενική Αναθεώρηση των Μεριδίων Συμμετοχής και τη Μεταρρύθμιση του Εκτελεστικού Συμβουλίου».
Ερωτάται το Σώμα: Γίνεται δεκτό το νομοσχέδιο;";"Ευάγγελος Αργύρης"
"16";": Δεκτό, δεκτό.";"ΠΟΛΛΟΙ ΒΟΥΛΕΥΤΕΣ"
"17";"): Συνεπώς το νομοσχέδιο του Υπουργείου Οικονομικών: «Κύρωση της υπ’ αριθμ. 66-2 Απόφασης του Συμβουλίου Διοικητών του Διεθνούς Νομισματικού Ταμείου σχετικά με τη Δέκατη Τέταρτη Γενική Αναθεώρηση των Μεριδίων Συμμετοχής και τη Μεταρρύθμιση του Εκτελεστικού Συμβουλίου» έγινε δεκτό κατά πλειοψηφία, σε μόνη συζήτηση, επί της αρχής, των άρθρων και του συνόλου και έχει ως εξής:
(Να μπει το κείμενο σελ. 12α)";"Ευάγγελος Αργύρης"
"18";"): Κύριοι συνάδελφοι, παρακαλώ το Σώμα να εξουσιοδοτήσει το Προεδρείο για την υπ’ ευθύνη του επικύρωση των Πρακτικών ως προς την ψήφιση στο σύνολο των παραπάνω νομοσχεδίων.";"Ευάγγελος Αργύρης"
"19";": Μάλιστα, μάλιστα.";"ΟΛΟΙ ΟΙ ΒΟΥΛΕΥΤΕΣ"
"20";"): Το Σώμα παρέσχε τη ζητηθείσα εξουσιοδότηση. 
Μόνη συζήτηση επί της αρχής, των άρθρων και του συνόλου του σχεδίου νόμου του Υπουργείου Περιβάλλοντος, Ενέργειας και Κλιματικής Αλλαγής: «Ποινική προστασία του περιβάλλοντος – Εναρμόνιση με την οδηγία 2008/99/ΕΚ - Πλαίσιο παραγωγής και διαχείρισης αποβλήτων – Εναρμόνιση με την οδηγία 2008/98/ΕΚ - Ρύθμιση θεμάτων Υπουργείου Περιβάλλοντος, Ενέργειας και Κλιματικής Αλλαγής».
Η Διάσκεψη των Προέδρων αποφάσισε στη συνεδρίασή της στις 26.1.2012 τη συζήτηση του νομοσχεδίου σε δύο συνεδριάσεις. Στη σημερινή συνεδρίαση θα συζητηθεί το νομοσχέδιο επί της αρχής και στην αυριανή συνεδρίαση θα συζητηθούν τα άρθρα και οι τροπολογίες ως μία ενότητα. 
Θα ήθελα να ανακοινώσω στο Σώμα ότι ο Κοινοβουλευτικός Εκπρόσωπος του Κομμουνιστικού Κόμματος Ελλάδας κ. Σπύρος Χαλβατζής με επιστολή του προς τον Πρόεδρο της Βουλής, ορίζει ως ειδικό αγορητή για τη συζήτηση του συγκεκριμένου νομοσχεδίου τον κ. Ιωάννη Ζιώγα. 
Επίσης, ο Κοινοβουλευτικός Εκπρόσωπος του Λαϊκού Ορθόδοξου Συναγερμού κ. Αλέξανδρος Χρυσανθακόπουλος με επιστολή του προς τον Πρόεδρο της Βουλής, κάνει γνωστό ότι κατά τη συζήτηση του νομοσχεδίου ειδικός αγορητής θα είναι ο κ. Ηλίας Πολατίδης. 
Τέλος, με επιστολή του ο Πρόεδρος της Κοινοβουλευτικής Ομάδας του ΣΥΡΙΖΑ κ. Αλέξης Τσίπρας ορίζει ειδική αγορήτρια επί του νομοσχεδίου τη Βουλευτή Λαρίσης κ. Ηρώ Διώτη.";"Ευάγγελος Αργύρης"
"21";" (Αναπληρωτής Υπουργός Περιβάλλοντος, Ενέργειας και Κλιματικής Αλλαγής): Κύριε Πρόεδρε, μου επιτρέπετε; Θα ήθελα να κάνω ορισμένες νομοτεχνικές βελτιώσεις.";"ΝΙΚΟΛΑΟΣ ΣΗΦΟΥΝΑΚΗΣ"
"22";"): Ορίστε, κύριε Υπουργέ, έχετε το λόγο.";"Ευάγγελος Αργύρης"
"23";" (Αναπληρωτής Υπουργός Περιβάλλοντος, Ενέργειας και Κλιματικής Αλλαγής): Οι περισσότερες από αυτές τις προσθήκες-αναδιατυπώσεις προέκυψαν από τη συζήτηση στην επιτροπή, στην πρώτη και τη δεύτερη ανάγνωση –κυρίως στη δεύτερη ανάγνωση. 
Μία βασική εξ αυτών, στην οποία ίσως θα πρέπει να αναφερθούμε, αφορά τα εξαρτημένα τοπογραφικά, όπου πράγματι γίνεται δεκτή η πρόταση της πλειοψηφίας των συναδέλφων στο να μην είναι αναγκαία, όπου υπάρχουν αναδασμοί ή στα αδόμητα αγροτεμάχια και κληροτεμάχια, στα οποία υπάρχει το Ολοκληρωμένο Σύστημα Διαχείρισης και Ελέγχου (ΟΣΔΕ).
(Στο σημείο αυτό ο Αναπληρωτής Υπουργός Περιβάλλοντος, Ενέργειας και Κλιματικής Αλλαγής κ. Νικόλαος Σηφουνάκης καταθέτει τις προαναφερθείσες νομοτεχνικές βελτιώσεις, οι οποίες έχουν ως εξής:
(να φωτογραφηθούν οι σελ.16-17-18)";"ΝΙΚΟΛΑΟΣ ΣΗΦΟΥΝΑΚΗΣ"
"24";" (Αναπληρωτής Υπουργός Περιβάλλοντος, Ενέργειας και Κλιματικής Αλλαγής): Επίσης, κύριε Πρόεδρε, για τη διευκόλυνση των συναδέλφων, θα ήθελα να καταθέσω στα Πρακτικά και αναδιατυπωμένο το κείμενο του νομοσχεδίου. 
(Στο σημείο αυτό ο Αναπληρωτής Υπουργός Περιβάλλοντος, Ενέργειας και Κλιματικής Αλλαγής κ. Νικόλαος Σηφουνάκης καταθέτει για τα Πρακτικά το τροποποιημένο κείμενο του νομοσχεδίου, το οποίο βρίσκεται στο Αρχείο του Τμήματος Γραμματείας της Διεύθυνσης Στενογραφίας και Πρακτικών της Βουλής)";"ΝΙΚΟΛΑΟΣ ΣΗΦΟΥΝΑΚΗΣ"
"25";"): Ευχαριστούμε, κύριε Υπουργέ. 
Το λόγο έχει τώρα η εισηγήτρια της Πλειοψηφίας κ. Θεοδώρα Τζάκρη.";"Ευάγγελος Αργύρης"
